ASIGNATURA;SCT;costos
TALLER DE DISEÑO INDUSTRIAL II;18;1.109.610
TALLER DE MAQUETAS Y PROTOTIPOS;6;369.870
GEOMETRÍA II Y DIBUJO TÉCNICO;6;369.870
TECNOLOGÍA INDUSTRIAL Y MATERIALES;6;369.870
GRÁFICA COMPUTACIONAL II;6;369.870
ERGONOMÍA I;6;369.870
FÍSICA;6;369.870
ECONOMÍA Y ADMINISTRACIÓN;6;369.870
TALLER DE DISEÑO INDUSTRIAL III;9;554.805
TECNOLOGÍA INDUSTRIAL Y MATERIALES II;3;184.935
MODELAMIENTO I;3;184.935
ERGONOMÍA II;3;184.935
ESTRUCTURALES I;3;184.935
MARKETING I;3;184.935
HISTORIA Y TEORÍA DEL DISEÑO INDUSTRIAL;3;184.935
ELECTIVO I;3;184.935
TALLER DE DISEÑO INDUSTRIAL IV;9;554.805
TECNOLOGÍA INDUSTRIAL Y MATERIALES III;3;184.935
MODELAMIENTO II;3;184.935
BIÓNICA;3;184.935
ESTRUCTURAS II;3;184.935
MARKETING II;3;184.935
METODOLOGÍAS DE LA INVESTIGACIÓN;3;184.935
ELECTIVO II;3;184.935
TALLER DE DISEÑO INDUSTRIAL V;9;554.805
PSICOLOGIA SOCIAL;3;184.935
SEMINARIO DISEÑO COMPUTACIONAL I;3;184.935
SEMINARIO DE PROCESOS DE PRODUCCION Y MATERIALES INDUSTRIALES I;3;184.935
SEMINARIO DE DISEÑO INDUSTRIAL I;5;308.225
SEMINARIO DE GESTION I;3;184.935
PRÁCTICA PROFESIONAL I;2;123.290
ELECTIVO III;3;184.935
TALLER DE DISEÑO INDUSTRIAL VI;9;554.805
ETICA Y LEGISLACION;3;184.935
SEMINARIO DE DISEÑO COMPUTACIONAL II;3;184.935
SEMINARIO DE PROCESOS DE PRODUCCION Y MATERIALES INDUSTRIALES II;3;184.935
SEMINARIO DE DISEÑO INDUSTRIAL II;5;308.225
SEMINARIO DE GESTION II;3;184.935
ELECTIVO IV;3;184.935
PRACTICA PROFESIONAL II;15;924.675
INVESTIGACION BASE MEMORIA;15;924.675
PROYECTO DE TITULO;30;1.849.350
