ASIGNATURA;AÑO;RÉGIMEN;SCT;
TALLER DE DISEÑO I;1ro.;Anual;18;1109660
EXPRESIÓN GRÁFICA I;1ro.;Anual;7;431515
PERCEPCIÓN;1ro.;Anual;7;431515
GEOMETRÍA;1ro.;Anual;7;431515
GRÁFICA COMPUTACIONAL I;1ro.;Anual;6;369870
HISTORIA Y TEORÍA DE DISEÑO;1ro.;Anual;6;369870
ANTROPOLOGÍA CULTURAL;1ro.;Anual;3;184935
MATEMÁTICAS;1ro.;Anual;6;369870
TALLER DE DISEÑO GRÁFICO II;2do.;Anual;18;1109660
EXPRESIÓN GRÁFICA II;2do.;Anual;6;369870
PERCEPCIÓN VISUAL;2do.;Anual;6;369870
FOTOGRAFÍA;2do.;Anual;6;369870
GRÁFICA COMPUTACIONAL II;2do.;Anual;6;369870
HISTORIA Y TEORÍA DEL DISEÑO GRÁFICO;2do.;Anual;6;369870
TEORÍA DE LA COMUNICACIÓN;2do.;Anual;6;369870
ECONOMÍA Y ADMINISTRACIÓN;2do.;Anual;6;369870
TALLER DE DISEÑO GRAFICO III;3ro.;Semestral;9;554805
TECNOLOGÍA GRÁFICA I;3ro.;Semestral;3;184935
MULTIMEDIA I;3ro.;Semestral;3;184935
LENGUAJE AUDIOVISUAL I;3ro.;Semestral;3;184935
PSICOLOGÍA SOCIAL;3ro.;Semestral;3;184935
SEMIÓTICA DE LA IMAGEN I;3ro.;Semestral;3;184935
MARKETING I;3ro.;Semestral;3;184935
ELECTIVO I;3ro.;Semestral;3;184935
TALLER DE DISEÑO GRÁFICO IV;3ro.;Semestral;9;554805
TECNOLOGÍA GRÁFICA II;3ro.;Semestral;3;184935
MULTIMEDIA II;3ro.;Semestral;3;184935
LENGUAJE AUDIOVISUAL II;3ro.;Semestral;3;184935
METODOLOGÍA DE LA INVESTIGACIÓN;3ro.;Semestral;3;184935
SEMIÓTICA DE LA IMAGEN II;3ro.;Semestral;3;184935
MARKETING II;3ro.;Semestral;3;184935
ELECTIVO II;3ro.;Semestral;3;184935
TALLER DE DISEÑO GRÁFICO V;4to.;Semestral;9;554805
SEMINARIO DE GRÁFICA COMPUTACIONAL I;4to.;Semestral;3;184935
SEMINARIO PRODUCCIÓN AUDIOVISUAL I;4to.;Semestral;3;184935
SEMINARIO DISEÑO GRÁFICO I;4to.;Semestral;5;308225
PUBLICIDAD;4to.;Semestral;3;184935
SEMINARIO DE GESTIÓN I;4to.;Semestral;3;184935
PRÁCTICA PROFESIONAL I;4to.;Semestral;2;123290
ELECTIVO III;4to.;Semestral;3;184935
TALLER DE DISEÑO GRÁFICO VI;4to.;Semestral;9;554805
SEMINARIO DE GRÁFICA COMPUTACIONAL II;4to.;Semestral;3;184935
SEMINARIO PRODUCCIÓN AUDIOVISUAL II;4to.;Semestral;3;184935
SEMINARIO DE DISEÑO GRÁFICO II;4to.;Semestral;5;308225
ETICA Y LEGISLACIÓN;4to.;Semestral;3;184935
SEMINARIO DE GESTIÓN;4to.;Semestral;3;184935
ELECTIVO IV;4to.;Semestral;3;184935
PRACTICA PROFESIONAL II;5to.;Semestral;15;924675
INVESTIGACION BASE MEMORIA;5to.;Semestral;15;924675
PROYECTO DE TITULO;5to.;Semestral;30;1849350
